,index,tconst,primaryTitle,averageRating,numVotes,startYear,first,second,third,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Thriller,War,Western,groupe
73,73,tt0099334,Cyrano de Bergerac,7.5,25418,1990,Comedy,Drama,History,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
74,74,tt0099348,Dances with Wolves,8.0,282394,1990,Adventure,Drama,Western,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
75,75,tt0099364,The Dark Side of the Moon,4.9,2800,1990,Action,Drama,Fantasy,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
76,76,tt0099365,Darkman,6.4,68234,1990,Action,Sci-Fi,Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
77,77,tt0099371,Days of Thunder,6.1,94128,1990,Action,Drama,Sport,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
78,78,tt0099381,Deadly Manor,4.7,1139,1990,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
79,79,tt0099385,Death Warrant,5.7,20204,1990,Action,Crime,Mystery,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
80,80,tt0099388,Deathstalker IV: Match of Titans,3.7,1045,1991,Action,Adventure,Fantasy,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
81,81,tt0099395,Def by Temptation,5.1,2213,1990,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
82,82,tt0099397,Defenseless,5.6,1110,1991,Mystery,Thriller,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
83,83,tt0099399,Delta Force 2: The Colombian Connection,4.9,7916,1990,Action,Adventure,Crime,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
84,84,tt0099401,Demon Wind,4.8,3117,1990,Horror,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
85,85,tt0099409,Desperate Hours,5.4,8056,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
86,86,tt0099422,Dick Tracy,6.2,64605,1990,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
87,87,tt0099423,Die Hard 2,7.1,374515,1990,Action,Thriller,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
88,88,tt0099426,Bullet in the Head,7.5,11384,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
89,89,tt0099429,Dil,6.6,5585,1990,Comedy,Drama,Romance,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
90,90,tt0099436,La discrète,7.0,1045,1990,Drama,Romance,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
91,91,tt0099441,Disturbed,5.1,1879,1990,Horror,Thriller,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
92,92,tt0099450,The Boyfriend School,5.7,3173,1990,Comedy,Romance,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
93,93,tt0099460,Downtown,5.7,2113,1990,Action,Comedy,Crime,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
94,94,tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,6.8,28194,1990,Adventure,Animation,Comedy,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
95,95,tt0099479,Døden på Oslo S,6.1,1460,1990,Action,Crime,Drama,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
96,96,tt0099484,The Ages of Lulu,5.5,4142,1990,Drama,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
97,97,tt0099487,Edward Scissorhands,7.9,511392,1990,Drama,Fantasy,Romance,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
98,98,tt0099512,Ernest Goes to Jail,5.4,9915,1990,Comedy,Crime,Family,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99,99,tt0099520,Everybody Wins,5.1,1303,1990,Drama,Mystery,Thriller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2
100,100,tt0099524,Evil Toons,4.1,3491,1992,Animation,Comedy,Fantasy,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
101,101,tt0099528,The Exorcist III,6.5,36686,1990,Drama,Horror,Mystery,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
102,102,tt0099545,Fantozzi alla riscossa,5.8,1572,1990,Comedy,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103,103,tt0099546,Far Out Man,4.9,1187,1990,Comedy,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
104,104,tt0099558,Operation Condor,7.2,22074,1991,Action,Adventure,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105,105,tt0099564,"Fire, Ice & Dynamite",3.9,1074,1990,Action,Comedy,Sport,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
106,106,tt0099566,The Field,7.3,6570,1990,Drama,Thriller,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
107,107,tt0099575,Fire Birds,4.7,7002,1990,Action,Adventure,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108,108,tt0099578,The First Power,5.6,4718,1990,Crime,Horror,Thriller,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
109,109,tt0099581,Flashback,6.2,5684,1990,Action,Adventure,Comedy,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
